abv,name,style,brewery_id,ounces
0.046,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12
0.073,Flying Sailor,Rye Beer,95,12
0.048,Nordskye ,American IPA,12,12
0.06,North Third Stout,Foreign / Export Stout,12,12
0.052,Honey Lav,American Pale Wheat Ale,12,12
0.068,Coconut Brown Ale,American Brown Ale,12,12
0.07,51K IPA,American IPA,12,12
0.055,Grand Rabbits,Cream Ale,12,12
0.05,1800 Big Log Wheat (2012),American Pale Wheat Ale,380,12
,Double Play Pilsner,American Pilsner,380,12
0.055,Brewerhood Brown Ale,American Brown Ale,380,12
0.08,Last Call Imperial Amber Ale,American Amber / Red Ale,380,12
0.096,Pernicious Double IPA,American Double / Imperial IPA,380,12
0.052,6-4-3 Double Play Pilsner,German Pilsener,380,12
,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,380,12
0.05,467 Ethan's Stout,American Stout,380,12
0.064,1335 Wicked Snout,Saison / Farmhouse Ale,380,12
0.045,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),380,12
0.056,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
0.056,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
0.056,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12
0.046,834 Happy As Ale,American Pale Ale (APA),380,12
0.059,Yellow Collar,Mead,422,12
0.059,Green Collar,Mead,422,12
0.08,Quarter Mile Double IPA,American Double / Imperial IPA,304,12
0.059,Full Nelson Pale Ale,American Pale Ale (APA),382,12
0.065,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12
0.053,Blue Mountain Classic Lager,Euro Pale Lager,382,12
0.059,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12
0.049,Kölsch 151,Kölsch,414,12
,Professor Black,American Stout,77,12
,Little Boss,American Pale Wheat Ale,77,12
,Van Dayum!,American Amber / Red Ale,77,12
,Spirit Animal,American Pale Ale (APA),77,12
0.07,Toxic Sludge,American Black Ale,489,16
0.06,Blue Point White IPA,American White IPA,489,12
0.044,Blue Point Summer Ale,American Blonde Ale,489,12
0.055,Toasted Lager,Vienna Lager,489,12
0.06,Bohemian Export Lager,Dortmunder / Export Lager,364,12
0.053,Altus Bohemes Altbier,Altbier,364,12
0.04,Cherny Bock,Schwarzbier,364,12
0.05,Czech Pilsner,Czech Pilsener,364,12
0.05,Viennese Lager,Vienna Lager,364,12
0.065,Mad Manatee IPA,American IPA,378,12
0.055,Killer Whale Cream Ale,Cream Ale,378,12
0.06,Duke's Cold Nose Brown Ale,American Brown Ale,378,12
0.042,Longhop IPA,American IPA,281,16
0.04,Lucky Buck,Irish Dry Stout,281,16
0.051,Bomb Lager (New Recipe),Munich Helles Lager,525,12
0.045,Bomb Lager (Old Recipe),Munich Helles Lager,525,12
0.066,Firestarter India Pale Ale,American IPA,107,12
0.075,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16
0.048,Wood Splitter Pilsner,Czech Pilsener,107,16
0.056,Gyptoberfest,Märzen / Oktoberfest,107,12
0.07,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16
0.047,Slow & Steady Golden Ale,American Blonde Ale,107,12
0.068,Pink-I Raspberry IPA,American IPA,107,16
0.047,Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,107,12
0.047,Live Local Golden Ale,American Blonde Ale,107,12
0.048,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12
0.049,Dirtbag Dunkel,Munich Dunkel Lager,107,16
0.053,Kindler Pale Ale,American Pale Ale (APA),107,12
0.064,Mistress Winter Wheat,Winter Warmer,107,12
0.061,Tent Pole Vanilla Porter,American Porter,107,16
0.058,Awry Rye Pale Ale,American Pale Ale (APA),107,12
0.058,Demshitz Brown Ale,American Brown Ale,107,12
0.048,Wood Splitter Pilsner (2012),Czech Pilsener,107,12
0.048,Brush Creek Blonde,American Blonde Ale,107,16
0.066,Firestarter India Pale Ale,American IPA,107,16
0.071,Noche Dulce,American Porter,231,16
0.045,Porch Rocker,Radler,300,12
0.065,Rebel IPA,American IPA,300,16
0.055,Cold Snap,Witbier,300,12
0.056,Samuel Adams Winter Lager,Bock,300,12
0.049,Boston Lager,Vienna Lager,300,16
0.049,Boston Lager,Vienna Lager,300,12
0.053,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12
0.053,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12
0.049,Boston Lager,Vienna Lager,300,12
0.049,Hazed & Infused,American Pale Ale (APA),417,12
0.057,Hoopla Pale Ale,American Pale Ale (APA),417,12
0.049,Hazed & Infused (2010),American Pale Ale (APA),417,12
0.062,Heavy Lifting,American IPA,31,12
0.065,1492,American Pale Ale (APA),167,12
0.058,Mango Ginger,American IPA,167,12
0.047,Passenger,English Dark Mild Ale,167,12
0.06,Plum St. Porter,American Porter,219,12
0.057,Plum St. Porter,American Porter,219,12
0.07,Bozone HopZone IPA,American IPA,219,12
0.06,Bozone Hefe Weizen,Hefeweizen,219,12
0.055,Bozone Select Amber Ale,American Amber / Red Ale,219,12
0.052,Evil Owl,American Amber / Red Ale,207,12
0.05,Post Time Kölsch,Kölsch,195,16
0.042,Agave Wheat,American Pale Wheat Ale,391,12
0.045,SummerBright Ale,American Pale Wheat Ale,391,12
0.062,Lucky U IPA,American IPA,391,12
0.054,Avalanche Ale,American Amber / Red Ale,391,12
0.05,"You're My Boy, Blue",Fruit / Vegetable Beer,308,12
0.072,Last Stop IPA,American IPA,308,12
0.05,Rollin Dirty Red Ale,Irish Red Ale,308,12
0.055,Are Wheat There Yet?,American Pale Wheat Ale,308,12
0.058,Insert Hop Reference,American Pale Ale (APA),19,16
0.053,Manitou Amber,American Amber / Red Ale,85,16
0.067,Belfort,Saison / Farmhouse Ale,10,16
0.06,Star Runner,Belgian Pale Ale,10,16
0.098,Tart Side of the Barrel,American Double / Imperial Stout,10,16
0.06,Linnaeus Mango IPA,American IPA,10,16
0.07,Beasts A'Burnin',Rauchbier,10,16
0.077,Verdun,Bière de Garde,10,16
0.065,Barrel Aged Triomphe,Belgian IPA,10,16
0.065,Cherry Doppelbock,Doppelbock,10,16
0.065,Tropical Saison,Saison / Farmhouse Ale,10,16
0.065,Beach Patrol,Witbier,10,16
0.05,Nuit Serpent,Belgian IPA,10,16
0.09,Paris,Saison / Farmhouse Ale,10,16
0.055,The Grand Army,Belgian IPA,10,16
0.059,Acidulated Trip,Saison / Farmhouse Ale,10,16
0.066,Root Stock,Rye Beer,10,16
0.041,Mind Games,Dunkelweizen,10,16
0.082,Sous Chef,Belgian Strong Pale Ale,10,16
0.065,Dubbelicious,Dubbel,10,16
0.062,Psychopomp,Belgian Dark Ale,10,16
,Fat Paczki,Belgian Dark Ale,10,16
,Earth-Like Planets,Belgian Pale Ale,10,16
0.061,Ski Patrol,Witbier,10,16
0.063,Viking Ice Hole,Oatmeal Stout,10,16
0.056,Rye Porter,American Porter,10,16
0.099,Wizard Burial Ground,Quadrupel (Quad),10,16
0.051,Smoky Wheat,Rauchbier,10,16
0.062,BRIPA,Belgian IPA,10,16
0.062,Mela,Belgian Dark Ale,10,16
0.053,W.I.P.A Snappa,Belgian IPA,10,16
0.063,Pepper in the Rye,Rye Beer,10,16
0.064,Moe Lasses',American Stout,10,16
0.07,Pumpkin Tart,Fruit / Vegetable Beer,10,16
